activity,income,region,marital,children,sex,age
suspicious,0-36k,inner city,yes,yes,female,35-45
suspicious,0-36k,inner city,yes,no,female,35-45
suspicious,0-36k,inner city,no,no,male,35-45
fraud,0-36k,inner city,yes,no,male,25-35
fraud,0-36k,inner city,yes,no,male,25-35
fraud,0-36k,inner city,no,no,male,25-35
fraud,0-36k,inner city,yes,yes,male,25-35
normal,36k-70k,town,yes,yes,female,35-45
normal,36k-70k,inner city,yes,yes,female,35-45
normal,36k-70k,town,no,no,female,25-35
normal,36k-70k,town,yes,yes,female,35-45
normal,36k-70k,town,yes,yes,male,35-45
normal,< 70k ,town,yes,yes,male,35-45
normal,< 70k ,inner city,no,no,male,25-35
normal,< 70k ,inner city,no,no,female,25-35
